Location,BHK,sq_ft,bath,balcony,Price
Ramakrishnappa Layout,2,1500,2,2,185
Murugeshpalya,6,1407,4,1,150
Govindaraja Nagar Ward,2,840,2,2,45
Tharabanahalli,3,4395,3,2,240
Ganga Nagar,2,845,2,1,55
Whitefield,4,5700,5,3,650
Varthur,2,1160,2,2,44
Bommanahalli,8,3000,8,0,140
Doddathoguru,2,1100,2,1,62
Gunjur,2,1140,2,3,43
Marathahalli,2,1220,2,1,57
Devarachikkanahalli,8,1350,7,0,85
Kanakpura Road,2,1005,2,1,36.68
Double Road,3,500,3,2,100
Begur Road,2,1358,2,1,80.58
Hegde Nagar,3,1569,3,1,101
Haralur Road,2,1240,2,1,70
Hennur Road,3,2089,3,2,140
Kothannur,2,1206,2,1,48.23
Kalena Agrahara,2,1150,2,3,40
Cholanayakanahalli,3,2511,3,3,205
Kaval Byrasandra,2,460,1,0,22
ISRO Layout,6,4400,6,3,250
Kodanda Reddy Layout,3,1660,2,2,105
Hennur Road,4,2957,2,2,224.5
Yelahanka,2,1326,2,2,78
Garudachar Palya,3,1325,2,2,60.8
EPIP Zone,3,1499,5,2,102
Hegde Nagar,6,3000,7,2,210
Kanakpura Road,3,1665,3,2,88
Dasanapura,2,708,2,2,37
Kasavanhalli,2,1060,2,2,58.06
Rajaji Nagar,6,710,6,3,160
Sanjay nagar,2,1000,2,2,70
Electronic City,2,1000,2,1,28.88
 Mysore Highway,3,1450,2,2,70
ISRO Layout,4,1200,4,2,155
Thanisandra,2,1296,2,3,80
Domlur,3,1540,3,2,90
Kengeri,4,2894,4,1,245
Sarjapura - Attibele Road,3,1330,2,1,48
Devasthanagalu,2,1200,2,1,65
T Dasarahalli,3,1200,3,1,90
Yeshwanthpur,3,2502,3,3,138
Chandapura,2,650,1,1,17
Kothanur,3,2400,2,1,150
Green View Layout,2,1007,2,2,43
Shantiniketan Layout,2,1200,2,2,50
Peenya,2,966,2,2,49.9
Nagarbhavi,3,1630,2,1,98
Rajaji Nagar,3,1640,3,2,229
Jalahalli West,2,782,2,2,55.68
Devanahalli,2,1260,2,2,66.78
Lakshmiamma Garden,3,1800,3,3,120
Byatarayanapura,3,1413,2,2,75
Whitefield,2,1116,2,1,51.91
Electronic City,3,1530,2,1,45.9
Ramamurthy Nagar,4,3700,4,1,225
Sarjapur  Road,3,2497,3,2,140
Kengeri,3,1540,2,3,64
Thanisandra,3,1436,3,1,74.75
Malleshwaram,2,1100,2,2,75
Hennur Road,2,276,3,3,23
Thanisandra,3,1427,3,2,120
Akshaya Nagar,3,2061,3,1,200
Hebbal,4,3067,4,0,477
Shampura,4,2650,4,2,150
Devanahalli,3,1282,2,2,68.52
Kadugodi,2,1050,2,1,34
LB Shastri Nagar,3,1600,3,2,65
Vajarahalli,2,945,2,1,54
Hormavu,2,1500,2,1,78
Vishwapriya Layout,7,950,7,0,115
Peenya,3,1870,3,3,110
Sarjapur,3,1600,3,1,75
Electronic City,2,880,1,1,16.5
Ramaswamy Palya - Kammanahalli Main Road,4,1200,4,0,210
Kudlu Gate,3,1535,3,2,83
Kanakpura Road,2,950,2,1,57
Devanahalli,2,1360,2,1,65
8th Phase JP Nagar,2,1042,2,2,54.005
Bommasandra Industrial Area,3,1280,3,1,50.4
Chandra Layout,3,1260,2,2,85.05
Hennur Road,8,5000,8,2,250
Yelahanka,5,3050,5,1,213
Kasavanhalli,3,1563.05,3,1,105
ISRO Layout,2,1000,2,1,60
Anandapura,2,1167,2,1,43.76
Vishveshwarya Layout,7,4000,7,2,225
Kothanur,3,1828,3,2,110
Kengeri Satellite Town,2,890,2,1,35
Basavanapura,3,1612,3,3,46.74
Dinnur,6,1034,5,2,185
Mysore Road,3,1710,4,2,91.31
Kannamangala,2,957,2,1,58
 Devarachikkanahalli,3,1250,2,3,44
Sanjeevini Nagar,3,2795,4,2,235
Hulimavu,2,1125,2,2,50
Electronic City Phase II,2,1020,2,1,30.6
Kalena Agrahara,2,1200,2,2,50
Thanisandra,3,1735,3,3,135
Thanisandra,3,2050,3,1,145
Mahalakshmi Layout,4,3750,4,0,760
Yarandahalli,3,1350,2,3,48
Hosa Road,2,1063,2,1,32
Keshava Nagar,3,1904,3,1,150
Whitefield,4,4200,4,2,420
RMV Extension,3,2000,3,1,175
Sarjapur,2,1145,2,2,43.49
Tejaswini Nagar,3,1425,2,2,75
Electronic City,3,1500,2,1,64.5
Electronic City,2,1060,2,1,60
Jai Bheema Nagar,3,1470,2,2,70
Kothnur Narayanapura,6,1300,6,0,99
Attibele,1,450,1,1,11
Electronic City,2,1152,2,1,64.5
Electronic City,3,1350,2,1,56
CV Raman Nagar,3,1550,3,3,65
CHIKKATIRUPATHI,3,1500,3,2,100
Kumaraswami Layout,5,600,3,2,85
Nagavara,1,400,1,0,14
Malleshwaram,1,705,1,2,67
Electronic City,2,770,1,1,36
Hulimavu,2,1242,2,3,51
Hebbal Kempapura,3,1700,3,2,155
Thanisandra,3,2144,3,2,145
Vijayanagar,3,1704,3,2,110
Electronic City,2,1070,2,1,52
8th block Koramangala,3,1846,3,2,300
Jakkuru Layout,2,1340,2,2,55.7
Electronic City,2,1025,2,1,46
KR Puram,2,1015,2,0,56.8
Marathahalli,2,1200,2,2,52
Kanakpura Road,4,2250,4,1,110
Pattandur Agrahara,3,1550,2,3,80
Bellandur,4,1200,5,2,325
Ejipura,7,1800,7,1,250
Marathahalli,2,1200,2,2,60
Yelahanka,2,1327,2,2,98
Kothanur,2,1186,2,2,58
MS Pallya,3,1783,3,1,115
HSR Layout,3,1400,3,2,56
Nagasandra,2,980,2,1,48
EPIP Zone,2,1285,2,2,82
Langford Town,3,912,2,1,70
Whitefield,2,1225,2,2,47.6
Whitefield,2,1075,2,1,53
Kadugodi,3,1260,2,2,54
Yelahanka,3,1282,2,2,48.7
Kogilu,3,1909,3,2,88
Panathur,2,1359,2,1,87
Nagondanahalli,2,1207,2,2,43.5
Padmanabhanagar,4,1736,6,0,190
1st Block Jayanagar,4,2850,4,1,428
Kammasandra,3,1595,3,2,65
"Off Sarjapur Road, ",3,1798,3,2,89
Electronics City Phase 1,3,1475,3,2,78.29
Tala Cauvery Layout,3,1580,3,3,100
Dasarahalli,2,1295,2,1,65
Magadi Road,6,3600,6,0,141
Electronic City,1,589,1,1,27
Ngef Layout,3,1415,3,3,78
Sarjapur  Road,3,1787,3,2,98.29
Sarjapur  Road,3,1787,3,2,125
Koramangala,3,1475,2,3,90
"Lakshminarayanapura, Electronic City Phase 2",4,2000,4,1,75.5
Sarjapur  Road,2,984,2,1,44.28
Devanahalli,3,1520,2,2,74.82
Muthurayya Swamy Layout,3,2405,4,2,260
7th Phase JP Nagar,2,1080,2,2,72
Shantiniketan Layout,2,1500,2,1,115
Hebbal,3,1900,3,2,119
Dommasandra,2,805,2,1,22.14
Budigere,2,1153,2,2,56.4
Dodda Nekkundi Extension,2,1148,2,2,60
Mylasandra,2,1110,2,2,55
Electronic City,2,1100,2,2,42
Kalyan nagar,2,1290,2,2,110
Dr Shivarama Karantha Nagar,3,1500,2,1,65
Bank Of Baroda Colony,2,1080,2,2,39
Vijayanagar,3,1933,3,1,129
Ramamurthy Nagar,5,3500,5,2,150
Kullappa Colony,2,1060,2,2,60
Chandapura,1,645,1,1,16.45
Mukkutam Nagar,8,2600,8,2,180
Chandapura,1,645,1,1,16.45
Ashwath Nagar,3,1644,3,3,84
Ncpr Industrial Layout,2,1285,2,3,72.5
Electronic City,3,1200,3,1,90
Electronic City,2,910,2,1,40
Kothanur,3,1577,3,1,70
Meenakunte,3,4050,3,2,280
OMBR Layout,3,2420,3,2,185
Chandapura,2,800,1,1,20
Anand Nagar,2,1060,2,2,55
7th Phase JP Nagar,2,1270,2,2,93
Shree Ananth Nagar Layout,2,900,2,2,22.5
Kundalahalli Colony,2,1280,2,1,69
Horamavu Agara,4,1200,2,0,95
Sarjapur  Road,2,1025,2,2,36
Electronic City,2,1108,2,1,63
MCECHS  layout,5,1200,5,2,170
Coffee Board Layout,3,3045,3,2,170
Ambedkar Nagar,4,2900,3,2,300
Vijayanagar,3,1500,3,2,75.5
Raja Rajeshwari Nagar,2,1295,2,2,43.9
Budigere,2,1162,2,1,59.9
Sarjapur  Road,2,1035,2,2,49.2
Attibele,4,1600,4,0,52.8
KUDLU MAIN ROAD,3,1464,3,2,46
Hennur Road,3,1866,2,2,61.58
Geleyara Balaga Layout,2,700,1,1,26
Kalena Agrahara,3,1804,3,2,120
Sarjapur,2,913,2,1,32
Talaghattapura,3,1868,3,2,131
Kengeri Satellite Town,2,883,2,1,45
Sundara Nagar,2,900,2,1,110
Kogilu,3,1664,2,3,73.95
Hegde Nagar,3,2026,3,2,132
Balagere,2,1210,2,1,80.9
Meenakunte,4,4111,4,2,250
Kadugodi,3,1762,3,3,91.45
Jigani,3,1252,3,3,55
Gollarapalya Hosahalli,2,861,2,1,34.5
7th Phase JP Nagar,3,1420,2,1,100
Srirampura,6,1450,6,2,250
Electronics City Phase 1,3,1490,3,1,78.8
Bisuvanahalli,3,1075,2,1,46
Old Madras Road,3,1425,2,2,94
Kalena Agrahara,2,1200,2,1,40
Kaggadasapura,3,1280,2,2,56
Silver Springs Layout,2,1084,2,2,50
Chandapura,2,1015,2,2,25.88
Kanakpura Road,2,1017,2,1,51.25
Haralur Road,2,1027,2,2,44
Electronic City Phase II,2,1069,2,2,45
Hebbal,2,1349,2,1,98.2
9th Phase JP Nagar,2,1005,2,1,50
Jakkur,2,1417,2,3,75
TC Palaya,3,1475,3,1,98
Maruthi Sevanagar,2,950,2,2,47
RMV 2nd Stage,4,2000,4,0,120
Giri Nagar,3,880,3,1,140
Sarjapur  Road,4,1863,3,2,104
Singasandra,2,1010,2,1,29.5
Kalena Agrahara,3,1425,2,1,70
Vijayanagar,3,1450,3,0,100
Kothanur,3,1847,3,2,105
AECS Layout,2,1100,2,3,45
Kanakpura Road,1,525,1,1,26
Mallasandra,3,1665,3,2,95
Begur,4,1664,4,3,65
JP Nagar,3,1850,3,3,150
Panathur,2,1438,2,3,100
Sunder Ram Shetty Nagar,3,1560,3,3,115
Yelahanka,2,1350,2,1,55.55
Kanakpura Road,3,1550,3,3,67
Malleshpalya,2,1140,2,2,46.5
Srirampura,5,1200,5,2,180
Kodathi,2,850,2,2,27
Whitefield,2,1280,2,2,75
Munnekollal,2,1170,2,2,52
Motappa Layout,2,1113,2,1,51
Hennur Road,2,1385,2,1,83.09
Electronic City,2,1128,2,1,65
Marathahalli,2,1200,2,2,128
Akshaya Vana,4,1200,4,3,165
Rajaji Nagar,3,2390,3,2,415
Giri Nagar,4,2400,4,1,400
Haralur Road,3,1464,3,2,56
Manayata Tech Park,2,1200,2,2,55
Kaval Byrasandra,2,1200,2,2,52
Kaggalipura,3,1150,2,1,55
Basavanna Nagar,3,1645,3,2,95
Sarjapur  Road,2,1000,2,1,67
Haralur Road,4,2650,4,2,198
6th Phase JP Nagar,2,1192,2,2,74
Ulsoor,3,2135,3,2,215
Whitefield,2,1173,2,1,58
Uttarahalli,2,1020,2,2,45
Thigalarapalya,4,3122,6,2,230
Somasundara Palya,3,1600,3,3,64
T.C PALYA,2,1200,2,0,79
Muneshwara Nagar,2,1230,2,3,48
 Devarachikkanahalli,2,1250,2,2,40
Kalena Agrahara,2,1325,2,2,76
7th Phase JP Nagar,3,1850,3,1,150
Kanakpura Road,1,525,2,1,21.53
Basaveshwara Nagar,2,1200,2,2,65
Bull Temple Road,3,1350,2,0,140
Bommasandra,3,1260,3,1,49.36
Prashanth Nagar,3,1800,3,0,150
Suragajakkanahalli,3,1100,3,2,74
Ardendale,2,1100,2,1,43.25
Harlur,2,1508,2,1,77
Sampigehalli,3,1592,3,2,75
Akshaya Nagar,2,1388,2,3,57
Electronic City Phase II,1,630,1,1,28.35
RMV,3,2000,3,2,365
Banashankari3rd stage bigbazar,3,1762,3,1,125
Bagalur Main Road,2,950,2,2,50
Kodihalli,4,3252,5,3,335
Magadi Road,2,1116,2,1,50
Narayanapura,2,1308,2,2,89.04
MS Pallya,3,1200,3,0,90
Binny Mills Employees Colony,4,1500,4,2,230
Bannerghatta Road,1,500,1,1,18.5
Hennur,2,1075,2,1,52
Chandapura,1,530,1,2,11.66
Bellandur,2,1205,2,3,66
5th Phase JP Nagar,2,1075,2,2,60
KR Puram,2,930,2,2,39
Balagere,2,1380,2,1,60
Hebbal,4,2483,5,2,212
Kodigehaali,2,1166,2,2,55
Bannerghatta Road,2,1050,2,1,65
Gopalapura,3,2023.71,3,2,275
Begur Road,2,1200,2,2,46.8
Lakshminarayana Pura,3,1600,2,1,108
Billekahalli,3,1935,3,2,110
8th Phase JP Nagar,1,451,1,2,29.9
Electronic City,3,1800,3,2,95
Jalahalli,3,1400,3,0,77
Hegde Nagar,3,1801,3,2,115
Mahadevpura,2,1451,2,3,90
Anekal,2,1200,1,1,36
Begur Road,2,1160,2,2,44
Kengeri,2,1000,2,1,25
Kanakpura Road,2,950,2,1,40
"Hoodi Circle, ",3,1629,3,2,79
Vijayanagar,3,1580,2,0,134
Vijayanagar,3,1826,3,2,121
7th Phase JP Nagar,2,1245,2,1,94
Raja Rajeshwari Nagar,2,1145,2,2,45.79
Sompura,2,825,2,1,33
Yeshwanthpur,3,1693,3,3,108
Electronics City Phase 1,2,1113.27,2,2,53
Ashirvad Colony,2,1460,2,1,58
Doddathoguru,2,1050,2,1,32
Dodda Nekkundi,2,1260,2,2,55
K N Extension,6,700,3,2,120
Hosur Road,2,1656,2,1,120
Chandapura,3,1208,3,1,45
Whitefield,3,1910,3,2,161
Whitefield,4,3252,4,1,230
Battarahalli,2,1200,2,1,65
Gokula Extension,4,1200,4,1,175
7th Phase JP Nagar,2,1175,2,1,82
Kamakshipalya,2,1000,2,0,165
Bannerghatta Road,4,1200,2,0,125
Rajaji Nagar,3,2390,3,2,410
Rajaji Nagar,7,12000,6,3,2200
Sultan Palaya,2,550,1,1,62
Kengeri,1,3400,1,2,18.5
Sanne Amanikere,2,1185,2,2,38
Kengeri,2,750,2,1,38
Mahalakshmi Layout,6,1200,7,3,250
Kanakpura Road,3,1550,3,3,64.5
Amco Colony,3,1760,3,2,88
Billekahalli,2,1125,2,2,62
Nagarbhavi,3,1350,3,2,150
Anandapura,2,1000,2,1,55
Bommasandra Industrial Area,2,1090,2,2,31.48
TC Palaya,2,1200,2,0,60
Budigere,3,1991,4,2,103
Bommasandra,2,1060,2,1,26.5
Ambalipura,2,1105,2,1,75
Hoodi,2,985,2,2,67
Chandapura,6,1533,5,3,85
Balagere,3,1590,3,2,79
CV Raman Nagar,2,1120,2,2,55
Samethanahalli,2,1069,2,1,55
Marathahalli,3,1933,3,2,140
Hosur Road,2,1194,2,0,69
Brookefield,2,1150,2,3,69
Yelenahalli,2,1240,2,2,47.12
Raja Rajeshwari Nagar,2,1419,2,2,48.1
7th Phase JP Nagar,8,1200,8,2,250
Richmond Town,3,2150,4,2,240
Suddaguntepalya,3,1450,3,2,55
Udayapur Village,3,1630,3,2,68.29
Dasanapura,2,708,1,1,40
Kasavanhalli,3,1000,4,3,110
Whitefield,4,11890,4,3,700
Bellandur,2,1250,2,1,76
7th Phase JP Nagar,3,1400,2,1,95
Sarjapur  Road,3,1670,2,3,57
Ardendale,3,1750,3,2,100
Vittasandra,2,1404,2,1,71
Hoodi,3,1715,2,2,95
Electronic City,1,630,1,1,34.65
Harlur,3,1752.12,3,2,135
Hulimavu,3,1650,3,2,78
Raja Rajeshwari Nagar,2,1295,2,1,55.47
Giri Nagar,3,1800,3,2,252
Sarjapur  Road,2,1346,2,1,74.03
Thippasandra,4,1200,4,2,200
Hormavu,2,1150,2,2,55
Chikkabidarakallu,4,3309,4,3,325
Chandapura,3,1190,2,2,30.35
AECS Layout,3,1620,3,2,98
Marathahalli,2,950,2,1,46.96
1 Giri Nagar,11,5000,9,3,360
Harlur,3,2450,3,0,120
Electronic City Phase II,3,1220,2,1,35.23
Hoysalanagar,2,850,2,1,30
Padmanabhanagar,2,1020,2,2,63
Chikkalasandra,2,1100,2,2,50
Defence Colony,2,1150,2,2,126
Hebbal,3,1760,2,2,130
Ambalipura,3,1800,3,3,110
Akshaya Nagar,2,1070,2,1,54
2nd Stage Nagarbhavi,4,1500,4,2,220
Vidyaranyapura,2,1440,2,0,95
Amruthahalli,2,900,2,1,40
ITI Employees Layout,4,1200,4,1,230
Whitefield,2,1130,2,1,42.16
Koramangala,2,1320,2,1,165
Kodigehalli,2,1270,2,1,98
Patelappa Layout,2,1200,2,1,62
Ring Road Nagarbhavi,4,4800,4,2,235
NS Palya,2,1200,2,1,74
Subramanyapura,2,929,2,0,50.17
RMV 2nd Stage,4,1150,4,2,260
Basavangudi,4,1125,4,3,180
Kenchenahalli,5,500,3,2,65
3rd Block Hrbr Layout,5,1200,5,2,190
KUDLU MAIN ROAD,3,1464,3,2,56
7th Phase JP Nagar,4,3600,4,3,400
Bank Avenue,4,2000,4,2,99
Chikkalasandra,2,1208,2,1,49
Hebbal Kempapura,2,1130,2,2,60
Surabhi Layout,3,1753,3,2,120
Old Madras Road,5,4500,7,3,337
Banjara Layout,3,600,3,2,58
Hoodi,2,1196,2,2,94.42
5th Phase JP Nagar,2,1150,3,3,52.5
Electronic City,2,1128,2,1,63
Omkar Nagar,2,1000,2,1,53
Yelahanka,2,1035,2,1,45
Kereguddadahalli,2,950,2,1,32
Bisuvanahalli,3,1075,2,1,36
Whitefield,2,1040,2,1,48.5
Maragondanahalli,2,720,2,1,45
Lingadheeranahalli,3,1511,3,1,95
Silk Board,3,1300,3,1,58
Hoodi,3,1545,3,1,68.75
Shampura,1,375,2,0,26
Vidyaranyapura,2,1062,2,3,38
Kada Agrahara,2,1115,2,1,40
JP Nagar,2,1000,2,1,35
Kambipura,2,883,2,1,45
Sarjapur  Road,2,1195,2,1,70
BHEL Layout,4,1200,3,1,165
Medahalli,1,700,1,0,41
Vittasandra,2,1246,2,1,67
8th Phase JP Nagar,4,660,4,2,90
Banashankari Stage III,4,8500,4,2,145
Kashi Nagar,4,1600,4,1,80
Haralur Road,4,2805,5,3,154
Begur Road,3,1584,3,2,65
Sector 7 HSR Layout,4,3000,5,1,275
Hosur Road,3,1175,2,2,48
"Yemlur, Old Airport Road, ",3,1595,3,2,115
VHBCS Layout,2,1353,2,2,110
Electronic City,3,1599,3,2,125
Whitefield,2,1150,2,1,70
Jakkur,4,5230,6,1,465
KR Puram,2,1155,2,2,42.74
Ittamadu,1,1200,2,2,85
Electronic City Phase II,2,1000,2,1,25
Thanisandra,4,3000,4,2,120
Rajiv Nagar,3,1867,3,1,160
Ramagondanahalli,2,1251,2,1,47
Gattahalli,2,1028,2,1,45.5
Arekere,2,1222,2,2,45
Bannerghatta Road,3,1170,2,1,66
Hebbal,3,2400,4,1,245
Ramanjaneyanagar,3,1385,2,2,48.48
HSR Layout,2,1372,2,1,68
Magadi Road,3,1282,2,2,49
Mico Layout,9,5000,9,3,210
7th Block Jayanagar,5,3000,3,1,528
Kanakpura Road,2,1135,2,1,39.73
Whitefield,3,1768,3,2,101
Byatarayanapura,3,1325,2,1,90
Electronic City,3,1599,3,2,99
Whitefield,3,1500,3,1,61.95
2nd Phase JP Nagar,3,2610,3,0,499
Uttarahalli,2,1286,2,2,63
Kammanahalli,5,2845,5,1,140
K G Colony,3,1600,2,2,50
Hennur Road,2,1195,2,2,63.77
Hebbal,3,3450,5,2,260
Munnekollal,2,1102,2,2,53.67
Yelahanka,2,1350,2,2,54
Banashankari,3,1200,2,2,42
Hosa Road,6,1300,6,0,145
Herohalli,2,1800,1,1,80
Chikkabanavar,2,950,2,1,40
Kanakpura Road,1,525,1,1,27.25
Attibele,2,656,2,1,25
Marathahalli,4,1780,4,3,175
3rd Block Hrbr Layout,2,1056,2,1,80
Bannerghatta Road,1,595,1,1,33.32
Ittamadu,2,1080,2,2,50
7th Phase JP Nagar,3,2225,3,1,160
Bommasandra,2,1126,2,1,28.15
Electronics City Phase 1,3,1490,3,1,84
HRBR Layout,4,2000,4,1,300
Sarjapur  Road,3,1550,3,3,100
,3,1600,3,2,86
Ashwini layout,2,1160,2,1,55
Whitefield,4,4144,4,3,315
Sarjapur  Road,3,2100,3,2,125
Vittasandra,2,1404,2,1,69.3
Sarjapur  Road,4,2230,4,3,225
Marathalli bridge,3,1544,3,2,120
Banashankari Stage III,3,1305,2,1,58.7
Marathahalli,2,1230,2,2,80
T.C PALYA,2,1200,2,0,65
Harlur,3,1460,3,1,73
Sarjapur  Road,4,1200,2,2,34.185
Gottigere,2,967,2,3,45
Byatarayanapura,1,540,1,1,36
Hormavu,1,715,1,2,46
Whitefield,3,2500,3,2,313
Dooravani Nagar,3,1578,3,1,180
Mysore Road,2,1020,2,1,48.95
Jigani,2,1020,2,1,40
Koramangala,2,1253,2,1,102
JCR Layout,2,1180,2,2,42
Nehru Nagar,2,961,2,2,38
Kanakapura,3,1419,3,3,75
Harlur,3,1709,3,2,150
Papareddipalya,2,1600,2,0,115
Venkatapura,1,416,1,1,18.5
Sanjay nagar,2,1100,2,2,98
HSR Layout,3,1430,2,1,65
Sneha Colony,2,1260,2,2,45
RMV Extension,3,1630,3,2,85
Sarjapur  Road,3,1249,3,2,44.71
Kalena Agrahara,3,1450,2,3,85
Konanakunte,3,2791,3,1,223
Hosapalya,1,600,1,0,90
Ashwini layout,1,834,1,1,60
Doddagubbi,3,1125,4,1,70
Arekere,3,2060,3,2,140
Malleshwaram,7,12000,7,3,2200
Gottigere,2,891,2,1,25
Raja Rajeshwari Nagar,2,1133,2,1,49.07
Bisuvanahalli,3,1075,2,1,37
Sector 6 HSR Layout,4,3000,5,2,260
Brookefield,4,2440,5,2,425
Vidyaranyapura,2,1200,2,2,55
Thanisandra,2,1075,2,2,45.8
Kaggadasapura,2,1140,2,2,40
Margondanahalli,5,940,4,2,150
ITI Layout,6,2160,5,1,250
Raja Rajeshwari Nagar,2,1090,2,1,42
R.T. Nagar,4,1500,4,1,70
Whitefield,4,4104,4,2,360
Whitefield,3,1790,3,2,100
Hebbal,3,1920,3,2,134
HRBR Layout,2,1374,2,2,95
Bannerghatta Road,3,1445,3,2,95
Kanakapura,1,711,1,1,36
Tumkur Road,3,1500,3,3,95
Whitefield,3,1720,3,3,100
Vasanthapura,3,1400,3,2,60
Kundalahalli,2,1030,2,2,49
Mysore Road,2,1200,2,1,85
Hosahalli,3,1375,3,2,70
Hegde Nagar,2,1050,1,2,56
Jalahalli,3,2250,3,2,160
Bellandur,2,1000,2,2,50
Jalahalli West,1,469,1,0,25
Marathahalli,4,3800,4,3,250
Kambipura,2,883,2,1,29
GM Palaya,3,1820,2,3,86
Singasandra,3,1440,2,3,65
near Ramanashree California resort,6,3600,4,1,160
Malleshwaram,4,2500,5,2,325
Mahadevpura,2,1225,2,2,48
"6th block banashankari 3rd stage, 100 feet ORR",3,4000,3,1,660
Chikkalasandra,2,875,2,3,52.8
Jalahalli East,1,750,1,2,40
6th Phase JP Nagar,2,1180,2,3,80
Haralur Road,2,1194,2,2,47
Hennur Road,3,1500,2,2,62
Poornapragna Housing Society Layout,2,1160,2,2,52.2
Arekere,9,4125,9,2,265
Hosakerehalli,3,2378,3,1,262
Sarjapur,2,1128,2,1,60
Hebbal,3,1500,3,1,150
Huskur,3,1220,2,1,35.23
Sarjapur  Road,2,1210,2,2,58
Kanakpura Road,3,1100,2,1,58
Bommasandra,3,1200,3,2,46
Haralur Road,4,3385,5,2,260
Nagondanahalli,3,1641,3,2,66
Horamavu Agara,2,1200,2,1,45
Raja Rajeshwari Nagar,2,1260,2,1,67.39
Mahadevpura,3,1720,3,3,78
Yelahanka,2,1120,2,2,48.13
Yelahanka,2,1210,2,1,45.98
Indira Nagar,4,2200,4,2,200
Bisuvanahalli,3,1075,2,1,45
Thanisandra,3,1702,3,2,130
Shanthala Nagar,2,1630,2,2,200
Raja Rajeshwari Nagar,2,1141,2,2,38.55
Herohalli,3,1200,2,0,70
Teachers Colony,3,1350,3,0,77
Srinivasa Nagar,3,1180,2,2,78.34
Yelahanka,3,35000,3,3,130
Langford Town,2,1355,2,2,115
Sulthangunta,1,600,1,2,50
Hormavu,7,1200,7,2,150
Bannerghatta Road,3,1640,2,1,120
Byrathi Village,5,1200,5,2,100
Kodichikkanahalli,3,1190,2,2,57
OMBR Layout,4,2400,4,2,375
Marathahalli,2,1019,2,2,49.85
Ambedkar Colony,3,1875,3,2,165
Akshaya Nagar,3,1250,3,2,40
Brookefield,3,1200,3,2,140
Whitefield,2,1140,2,1,56
Lingadheeranahalli,3,1683,3,1,109
Kaggadasapura,3,1515,3,3,83.3
Hoodi,4,2118,4,2,111
Bannerghatta Road,4,1380,3,0,58
Varthur Road,2,1083,2,2,61.75
Anjappa Layout,2,600,2,1,55
Avalahalli,3,2300,3,3,120
Prakruthi Nagar,2,1240,2,2,60
Surabhi Layout,3,1750,3,1,120
Sadaramangala,2,1230,2,2,43.48
Anjanapura,3,1500,3,1,139
Abbigere,2,985,2,1,40.39
Tindlu,3,1500,2,1,87
Electronic City,2,1125,2,1,32.49
Maruthi Sevanagar,2,950,2,1,44
Kothanur,3,1580,3,3,76
B Narayanapura,3,1092,2,1,98.5
Electronic City Phase II,2,1090,2,1,28.34
Hennur Road,3,2264,3,1,159
Dommasandra,3,1033,2,2,25.53
Kammasandra,2,810,2,2,24.5
Green Garden Layout,2,1045,2,0,45
Hebbal,2,1337,2,1,82
Chandapura,2,1200,2,2,32
Koramangala,3,1580,3,2,160
Begur Road,3,1500,2,3,54
